Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
AC,YUL,SFO,A320,A320,0,0,0,62,"9,052","22,973,976",-62,"-9,052","-22,973,976",-100.00%,-100.00%,-100.00%
AC,YUL,YQB,DeHavilland Dash-8,DHC-8-100,0,0,0,62,"2,294","332,630",-62,"-2,294","-332,630",-100.00%,-100.00%,-100.00%
AC,YYC,YLW,DeHavilland Dash-8,DHC-8-300,0,0,0,62,"3,100","771,900",-62,"-3,100","-771,900",-100.00%,-100.00%,-100.00%
AC,YYG,YYZ,A320,A319,0,0,0,62,"8,432","6,973,264",-62,"-8,432","-6,973,264",-100.00%,-100.00%,-100.00%
AC,YYT,YHZ,E-Jet,E-190,0,0,0,62,"6,014","3,301,686",-62,"-6,014","-3,301,686",-100.00%,-100.00%,-100.00%
AC,YYZ,EWR,E-Jet,E-190,0,0,0,62,"6,014","2,086,858",-62,"-6,014","-2,086,858",-100.00%,-100.00%,-100.00%
AC,YYZ,YLW,A320,A319,0,0,0,62,"8,432","16,105,120",-62,"-8,432","-16,105,120",-100.00%,-100.00%,-100.00%
WS,YQY,YYZ,B737 Misc,B737-Max 8 Passenger,8,"1,392","1,354,416",0,0,0,8,"1,392","1,354,416",,,
AC,YYZ,YYG,A320,A319,0,0,0,62,"8,432","6,973,264",-62,"-8,432","-6,973,264",-100.00%,-100.00%,-100.00%
AC,YUL,YVR,B737 Misc,B737-Max 8 Passenger,0,0,0,62,"10,478","24,047,010",-62,"-10,478","-24,047,010",-100.00%,-100.00%,-100.00%
AC,YVR,YUL,B737 Misc,B737-Max 8 Passenger,0,0,0,62,"10,478","24,047,010",-62,"-10,478","-24,047,010",-100.00%,-100.00%,-100.00%
AC,YVR,YYZ,B737 Misc,B737-Max 8 Passenger,0,0,0,62,"10,478","21,846,630",-62,"-10,478","-21,846,630",-100.00%,-100.00%,-100.00%
AC,YYZ,YVR,B737 Misc,B737-Max 8 Passenger,0,0,0,62,"10,478","21,846,630",-62,"-10,478","-21,846,630",-100.00%,-100.00%,-100.00%
AC,YFC,YUL,DeHavilland Dash-8,DHC-8-300,1,50,"17,500",65,"3,250","1,137,500",-64,"-3,200","-1,120,000",-98.50%,-98.50%,-98.50%
AC,YUL,YFC,DeHavilland Dash-8,DHC-8-300,0,0,0,64,"3,200","1,120,000",-64,"-3,200","-1,120,000",-100.00%,-100.00%,-100.00%
AC,YHZ,YYZ,E-Jet,E-190,31,"3,007","2,411,614",96,"9,312","7,468,224",-65,"-6,305","-5,056,610",-67.70%,-67.70%,-67.70%
AC,YYZ,YHZ,E-Jet,E-190,31,"3,007","2,411,614",96,"9,312","7,468,224",-65,"-6,305","-5,056,610",-67.70%,-67.70%,-67.70%
AC,YWG,YYC,DeHavilland Dash-8,DHC-8-400,0,0,0,66,"5,148","3,824,964",-66,"-5,148","-3,824,964",-100.00%,-100.00%,-100.00%
AC,YYC,YWG,DeHavilland Dash-8,DHC-8-400,0,0,0,66,"5,148","3,824,964",-66,"-5,148","-3,824,964",-100.00%,-100.00%,-100.00%
AC,YVR,SFO,A320,A320,4,584,"467,200",73,"10,658","8,526,400",-69,"-10,074","-8,059,200",-94.50%,-94.50%,-94.50%
AC,SFO,YVR,A320,A320,4,584,"467,200",78,"11,388","9,110,400",-74,"-10,804","-8,643,200",-94.90%,-94.90%,-94.90%
AC,SFO,YYZ,B737 Misc,B737-Max 8 Passenger,0,0,0,74,"12,506","28,263,560",-74,"-12,506","-28,263,560",-100.00%,-100.00%,-100.00%
AC,SEA,YVR,Canadair CRJ,CRJ-900,31,"2,356","299,212",112,"8,512","1,081,024",-81,"-6,156","-781,812",-72.30%,-72.30%,-72.30%
AC,YEG,YMM,DeHavilland Dash-8,DHC-8-300,0,0,0,81,"4,050","1,012,500",-81,"-4,050","-1,012,500",-100.00%,-100.00%,-100.00%
AC,YMM,YEG,DeHavilland Dash-8,DHC-8-300,0,0,0,81,"4,050","1,012,500",-81,"-4,050","-1,012,500",-100.00%,-100.00%,-100.00%
AC,YVR,SEA,Canadair CRJ,CRJ-900,31,"2,356","299,212",112,"8,512","1,081,024",-81,"-6,156","-781,812",-72.30%,-72.30%,-72.30%
AC,YPR,YVR,DeHavilland Dash-8,DHC-8-300,0,0,0,84,"4,200","1,974,000",-84,"-4,200","-1,974,000",-100.00%,-100.00%,-100.00%
AC,YQU,YEG,DeHavilland Dash-8,DHC-8-300,0,0,0,84,"4,200","1,050,000",-84,"-4,200","-1,050,000",-100.00%,-100.00%,-100.00%
AC,YVR,YPR,DeHavilland Dash-8,DHC-8-300,0,0,0,84,"4,200","1,974,000",-84,"-4,200","-1,974,000",-100.00%,-100.00%,-100.00%
AC,YVR,YXC,DeHavilland Dash-8,DHC-8-300,0,0,0,84,"4,200","1,411,200",-84,"-4,200","-1,411,200",-100.00%,-100.00%,-100.00%
AC,YXC,YVR,DeHavilland Dash-8,DHC-8-300,0,0,0,84,"4,200","1,411,200",-84,"-4,200","-1,411,200",-100.00%,-100.00%,-100.00%
AC,YEG,YQU,DeHavilland Dash-8,DHC-8-300,0,0,0,85,"4,250","1,062,500",-85,"-4,250","-1,062,500",-100.00%,-100.00%,-100.00%
AC,YQF,YYC,Beechcraft,Beech 1900D Airliner,0,0,0,85,"1,530","113,220",-85,"-1,530","-113,220",-100.00%,-100.00%,-100.00%
AC,YVR,YYD,DeHavilland Dash-8,DHC-8-300,0,0,0,85,"4,250","1,806,250",-85,"-4,250","-1,806,250",-100.00%,-100.00%,-100.00%
AC,YYC,YQF,Beechcraft,Beech 1900D Airliner,0,0,0,85,"1,530","113,220",-85,"-1,530","-113,220",-100.00%,-100.00%,-100.00%
AC,YYD,YVR,DeHavilland Dash-8,DHC-8-300,0,0,0,85,"4,250","1,806,250",-85,"-4,250","-1,806,250",-100.00%,-100.00%,-100.00%
AC,YKA,YYC,DeHavilland Dash-8,DHC-8-300,0,0,0,87,"4,350","1,226,700",-87,"-4,350","-1,226,700",-100.00%,-100.00%,-100.00%
